Longitude,Latitude,Pixel,Scan
20.0049131,0.0162697434,3000,300
19.9705193,0.0158912808,3100,300
19.9361264,0.0155230649,3200,300
19.9017342,0.0151650909,3300,300
19.8673424,0.014817355,3400,300
19.8329505,0.0144798532,3500,300
19.7985581,0.0141525825,3600,300
19.7641651,0.0138355398,3700,300
19.7297708,0.0135287228,3800,300
19.6953752,0.0132321296,3900,300
19.6613216,0.0129485715,3999,300
21.0387849,0.047906795,0,400
21.004192,0.0472169238,100,400
20.9696109,0.0465376319,200,400
20.9350414,0.0458689016,300,400
20.9004831,0.0452107157,400,400
20.8659355,0.0445630574,500,400
20.8313983,0.0439259103,600,400
20.7968712,0.0432992586,700,400
20.7623538,0.0426830869,800,400
20.7278457,0.04207738,900,400
20.6933465,0.0414821236,1000,400
20.658856,0.0408973035,1100,400
20.6243736,0.0403229062,1200,400
20.5898991,0.0397589183,1300,400
20.5554321,0.0392053272,1400,400
20.5209722,0.0386621205,1500,400
20.4865191,0.0381292864,1600,400
20.4520724,0.0376068135,1700,400
20.4176318,0.0370946907,1800,400
20.3831968,0.0365929075,1900,400
20.3487672,0.0361014538,2000,400
20.3143425,0.0356203198,2100,400
20.2799225,0.0351494964,2200,400
20.2455066,0.0346889747,2300,400
20.2110947,0.0342387462,2400,400
20.1766863,0.0337988032,2500,400
20.1422811,0.0333691379,2600,400
20.1078787,0.0329497433,2700,400
20.0734787,0.0325406128,2800,400
20.0390808,0.03214174,2900,400
20.0046847,0.0317531192,3000,400
19.9702899,0.0313747449,3100,400
19.9358962,0.0310066122,3200,400
19.9015031,0.0306487165,3300,400
19.8671103,0.0303010538,3400,400
19.8327175,0.0299636202,3500,400
19.7983242,0.0296364127,3600,400
19.7639302,0.0293194282,3700,400
19.7295351,0.0290126643,3800,400
19.6951385,0.0287161192,3900,400
19.661084,0.0284326038,3999,400
21.0385751,0.0633923629,0,500
21.0039814,0.0627027376,100,500
20.9693996,0.0620236865,200,500
20.9348292,0.0613551917,300,500
20.9002701,0.0606972361,400,500
20.8657217,0.0600498028,500,500
20.8311837,0.0594128756,600,500
20.7966557,0.0587864385,700,500
20.7621375,0.0581704762,800,500
20.7276285,0.0575649736,900,500
20.6931285,0.0569699163,1000,500
20.6586371,0.0563852902,1100,500
20.6241539,0.0558110816,1200,500
20.5896785,0.0552472774,1300,500
20.5552107,0.0546938648,1400,500
20.5207499,0.0541508316,1500,500
20.486296,0.0536181658,1600,500
20.4518484,0.053095856,1700,500
20.4174069,0.0525838914,1800,500
20.3829711,0.0520822612,1900,500
20.3485405,0.0515909554,2000,500
20.314115,0.0511099643,2100,500
20.279694,0.0506392786,2200,500
20.2452773,0.0501788896,2300,500
20.2108645,0.0497287889,2400,500
20.1764552,0.0492889684,2500,500
20.1420491,0.0488594208,2600,500
20.1076457,0.0484401387,2700,500
20.0732449,0.0480311157,2800,500
20.0388461,0.0476323455,2900,500
20.004449,0.0472438221,3000,500
19.9700533,0.0468655403,3100,500
19.9356586,0.0464974951,3200,500
19.9012646,0.0461396819,3300,500
19.8668709,0.0457920966,3400,500
19.8324771,0.0454547356,3500,500
19.798083,0.0451275955,3600,500
19.763688,0.0448106735,3700,500
19.7292919,0.0445039672,3800,500
19.6948943,0.0442074746,3900,500
19.6608389,0.0439240064,3999,500
21.0383706,0.0788695992,0,600
21.0037761,0.0781802207,100,600
20.9691935,0.077501411,200,600
20.9346223,0.0768331524,300,600
20.9000623,0.0761754276,400,600
20.8655131,0.07552822,500,600
20.8309743,0.0748915132,600,600
20.7964456,0.0742652913,700,600
20.7619265,0.0736495389,800,600
20.7274167,0.0730442411,900,600
20.6929159,0.0724493833,1000,600
20.6584236,0.0718649516,1100,600
20.6239396,0.0712909322,1200,600
20.5894634,0.070727312,1300,600
20.5549947,0.0701740782,1400,600
20.5205331,0.0696312186,1500,600
20.4860783,0.0690987214,1600,600
20.4516299,0.068576575,1700,600
20.4171875,0.0680647686,1800,600
20.3827508,0.0675632915,1900,600
20.3483194,0.0670721338,2000,600
20.313893,0.0665912856,2100,600
20.2794711,0.0661207377,2200,600
20.2450536,0.0656604814,2300,600
20.2106399,0.0652105083,2400,600
20.1762297,0.0647708104,2500,600
20.1418226,0.0643413802,2600,600
20.1074184,0.0639222105,2700,600
20.0730166,0.0635132948,2800,600
20.0386169,0.0631146268,2900,600
20.004219,0.0627262007,3000,600
19.9698224,0.0623480111,3100,600
19.9354268,0.0619800529,3200,600
19.9010319,0.0616223218,3300,600
19.8666372,0.0612748136,3400,600
19.8322426,0.0609375245,3500,600
19.7978474,0.0606104514,3600,600
19.7634515,0.0602935914,3700,600
19.7290545,0.059986942,3800,600
19.694656,0.0596905014,3900,600
19.6605996,0.0594070796,3999,600
21.0381633,0.0943476867,0,700
21.003568,0.0936584604,100,700
